DateTime, Accuracy,Precision,Recall,Hidden Layers, Hidden Neurons,Training Function,Training Time 
6/3/2024 3:58,9.777778,0.025258,0.125289,1,1,SCG,18.240083
6/3/2024 4:00,24.177778,0.181347,0.270129,1,3,SCG,22.244057
6/3/2024 4:03,39.733333,0.371738,0.419259,1,5,SCG,39.020142
6/3/2024 4:06,52.177778,0.520936,0.516831,1,10,SCG,34.650656
6/3/2024 4:11,58.133333,0.584828,0.578101,1,15,SCG,59.448951
6/3/2024 4:15,57.6,0.568047,0.576175,1,20,SCG,43.279896
6/3/2024 4:20,59.822222,0.596518,0.601618,1,30,SCG,68.369647
6/3/2024 4:25,56.266667,0.544695,0.561437,1,40,SCG,53.715436
6/3/2024 4:30,59.644444,0.588296,0.596375,1,50,SCG,62.371738
6/3/2024 4:36,59.733333,0.580703,0.595798,1,60,SCG,71.863303
6/3/2024 4:43,61.333333,0.602214,0.611976,1,70,SCG,85.301593
6/3/2024 4:51,59.466667,0.581666,0.594185,1,80,SCG,93.062093
6/3/2024 4:59,58.577778,0.572964,0.582644,1,90,SCG,98.54205
6/3/2024 5:08,59.555556,0.586181,0.60041,1,100,SCG,110.021775
6/3/2024 5:09,5.066667,0.003393,0.066667,1,1,RP,3.639469
6/3/2024 5:09,6.133333,0.005856,0.08,1,3,RP,4.84972
6/3/2024 5:10,6.311111,0.018876,0.080741,1,5,RP,4.557666
6/3/2024 5:10,6.577778,0.00616,0.077333,1,10,RP,6.36325
6/3/2024 5:11,5.066667,0.003393,0.066667,1,15,RP,6.79588
6/3/2024 5:13,14.044444,0.098419,0.164186,1,20,RP,22.760684
6/3/2024 5:15,9.6,0.021709,0.114872,1,30,RP,24.219818
6/3/2024 5:16,7.466667,0.01095,0.089524,1,40,RP,18.12549
6/3/2024 5:20,16,0.066283,0.183868,1,50,RP,48.627204
6/3/2024 5:26,22.666667,0.194619,0.244379,1,60,RP,66.123413
6/3/2024 5:30,21.955556,0.207391,0.243824,1,70,RP,48.941375
6/3/2024 5:37,25.955556,0.170818,0.277073,1,80,RP,84.614704
6/3/2024 5:45,16.444444,0.111,0.195096,1,90,RP,96.237425
6/3/2024 5:50,15.2,0.102878,0.157104,1,100,RP,61.78989
6/3/2024 5:52,9.777778,0.018023,0.126256,1,1,OSS,15.745509
6/3/2024 5:53,18.933333,0.096755,0.211268,1,3,OSS,21.250229
6/3/2024 5:58,38.311111,0.28778,0.388779,1,5,OSS,54.036638
6/3/2024 6:01,25.777778,0.244715,0.292273,1,10,OSS,37.220178
6/3/2024 6:06,17.422222,0.077265,0.198978,1,15,OSS,59.669518
6/3/2024 6:17,52.8,0.5337,0.538007,1,20,OSS,126.806434
6/3/2024 6:27,34.666667,0.282343,0.36225,1,30,OSS,124.191851
6/3/2024 6:44,60.266667,0.593846,0.597624,1,40,OSS,202.663525
6/3/2024 7:00,58.666667,0.578421,0.591049,1,50,OSS,194.180645
6/3/2024 7:15,55.733333,0.542308,0.553743,1,60,OSS,176.496192
6/3/2024 7:36,54.044444,0.544663,0.545377,1,70,OSS,250.166187
6/3/2024 8:05,53.955556,0.53108,0.544761,1,80,OSS,350.782319
6/3/2024 8:27,58.044444,0.564903,0.58202,1,90,OSS,265.302739
6/3/2024 9:11,46.933333,0.478877,0.483306,1,100,OSS,521.549645
6/3/2024 9:11,8.444444,0.02302,0.102476,1,1,GDX,3.16724
6/3/2024 9:12,13.066667,0.052738,0.133344,1,3,GDX,5.061704
6/3/2024 9:12,17.688889,0.063971,0.151236,1,5,GDX,9.810805
6/3/2024 9:14,34.311111,0.292949,0.321445,1,10,GDX,12.992204
6/3/2024 9:15,46.222222,0.420651,0.459339,1,15,GDX,17.057395
6/3/2024 9:17,41.955556,0.405186,0.424385,1,20,GDX,19.381791
6/3/2024 9:19,53.422222,0.526197,0.533162,1,30,GDX,30.446395
6/3/2024 9:22,50.133333,0.492213,0.501301,1,40,GDX,36.480587
6/3/2024 9:28,55.466667,0.544734,0.553899,1,50,GDX,64.151451
6/3/2024 9:33,52.533333,0.516946,0.527375,1,60,GDX,61.119556
6/3/2024 9:38,54.4,0.530642,0.537559,1,70,GDX,68.182219
6/3/2024 9:46,53.244444,0.49938,0.521771,1,80,GDX,88.345116
6/3/2024 9:54,54.577778,0.536151,0.543461,1,90,GDX,99.900659
6/3/2024 10:01,50.755556,0.484531,0.508683,1,100,GDX,83.158765
,,,,,,,
,,,,,,,
